Matrix A:
44	24	39	7	42	30	
8	39	46	16	0	18	
44	41	25	38	25	17	
37	37	46	11	35	5	
41	39	13	7	11	9	
16	9	13	9	5	34	

Matrix B:
7	43	23	22	20	29	
13	48	39	7	40	13	
49	0	16	21	14	15	
26	31	19	4	2	31	
21	42	9	7	48	38	
47	42	28	3	48	3	

d_a: 11, d_b: 2, sum = 41.000000 
d_a: 11, d_b: 3, sum = 40.000000 
d_a: 11, d_b: 4, sum = 38.000000 
d_a: 11, d_b: 5, sum = 47.000000 
d_a: 5, d_b: 8, sum = 69.000000 
d_a: 5, d_b: 9, sum = 37.000000 
d_a: 5, d_b: 10, sum = 70.000000 
d_a: 5, d_b: 11, sum = 43.000000 
d_a: 17, d_b: 8, sum = 56.000000 
d_a: 17, d_b: 9, sum = 24.000000 
d_a: 17, d_b: 10, sum = 57.000000 
d_a: 17, d_b: 11, sum = 30.000000 
d_a: 5, d_b: 14, sum = 46.000000 
d_a: 5, d_b: 15, sum = 51.000000 
d_a: 5, d_b: 16, sum = 44.000000 
d_a: 5, d_b: 17, sum = 45.000000 
d_a: 11, d_b: 8, sum = 57.000000 
d_a: 11, d_b: 9, sum = 25.000000 
d_a: 11, d_b: 10, sum = 58.000000 
d_a: 11, d_b: 11, sum = 31.000000 
d_a: 17, d_b: 14, sum = 33.000000 
d_a: 17, d_b: 15, sum = 38.000000 
d_a: 17, d_b: 16, sum = 31.000000 
d_a: 17, d_b: 17, sum = 32.000000 
d_a: 5, d_b: 2, sum = 53.000000 
d_a: 5, d_b: 3, sum = 52.000000 
d_a: 5, d_b: 4, sum = 50.000000 
d_a: 5, d_b: 5, sum = 59.000000 
d_a: 11, d_b: 14, sum = 34.000000 
d_a: 11, d_b: 15, sum = 39.000000 
d_a: 11, d_b: 16, sum = 32.000000 
d_a: 11, d_b: 17, sum = 33.000000 
d_a: 17, d_b: 2, sum = 40.000000 
d_a: 17, d_b: 3, sum = 39.000000 
d_a: 17, d_b: 4, sum = 37.000000 
d_a: 17, d_b: 5, sum = 46.000000 
d_a: 6, d_b: 6, sum = 21.000000 
d_a: 6, d_b: 7, sum = 56.000000 
d_a: 6, d_b: 8, sum = 47.000000 
d_a: 6, d_b: 9, sum = 15.000000 
d_a: 6, d_b: 10, sum = 48.000000 
d_a: 6, d_b: 11, sum = 21.000000 
d_a: 7, d_b: 6, sum = 52.000000 
d_a: 7, d_b: 7, sum = 87.000000 
d_a: 7, d_b: 8, sum = 78.000000 
d_a: 7, d_b: 9, sum = 46.000000 
d_a: 7, d_b: 10, sum = 79.000000 
d_a: 7, d_b: 11, sum = 52.000000 
d_a: 8, d_b: 6, sum = 59.000000 
d_a: 8, d_b: 7, sum = 94.000000 
d_a: 8, d_b: 8, sum = 85.000000 
d_a: 8, d_b: 9, sum = 53.000000 
d_a: 8, d_b: 10, sum = 86.000000 
d_a: 8, d_b: 11, sum = 59.000000 
d_a: 9, d_b: 6, sum = 29.000000 
d_a: 9, d_b: 7, sum = 64.000000 
d_a: 9, d_b: 8, sum = 55.000000 
d_a: 9, d_b: 9, sum = 23.000000 
d_a: 9, d_b: 10, sum = 56.000000 
d_a: 9, d_b: 11, sum = 29.000000 
d_a: 10, d_b: 6, sum = 13.000000 
d_a: 10, d_b: 7, sum = 48.000000 
d_a: 10, d_b: 8, sum = 39.000000 
d_a: 10, d_b: 9, sum = 7.000000 
d_a: 10, d_b: 10, sum = 40.000000 
d_a: 10, d_b: 11, sum = 13.000000 
d_a: 11, d_b: 6, sum = 31.000000 
d_a: 11, d_b: 7, sum = 66.000000 
d_a: 6, d_b: 0, sum = 15.000000 
d_a: 6, d_b: 1, sum = 51.000000 
d_a: 6, d_b: 2, sum = 31.000000 
d_a: 6, d_b: 3, sum = 30.000000 
d_a: 6, d_b: 4, sum = 28.000000 
d_a: 6, d_b: 5, sum = 37.000000 
d_a: 7, d_b: 0, sum = 46.000000 
d_a: 7, d_b: 1, sum = 82.000000 
d_a: 7, d_b: 2, sum = 62.000000 
d_a: 7, d_b: 3, sum = 61.000000 
d_a: 7, d_b: 4, sum = 59.000000 
d_a: 7, d_b: 5, sum = 68.000000 
d_a: 8, d_b: 0, sum = 53.000000 
d_a: 8, d_b: 1, sum = 89.000000 
d_a: 8, d_b: 2, sum = 69.000000 
d_a: 8, d_b: 3, sum = 68.000000 
d_a: 8, d_b: 4, sum = 66.000000 
d_a: 8, d_b: 5, sum = 75.000000 
d_a: 9, d_b: 0, sum = 23.000000 
d_a: 9, d_b: 1, sum = 59.000000 
d_a: 9, d_b: 2, sum = 39.000000 
d_a: 9, d_b: 3, sum = 38.000000 
d_a: 9, d_b: 4, sum = 36.000000 
d_a: 9, d_b: 5, sum = 45.000000 
d_a: 10, d_b: 0, sum = 7.000000 
d_a: 10, d_b: 1, sum = 43.000000 
d_a: 10, d_b: 2, sum = 23.000000 
d_a: 10, d_b: 3, sum = 22.000000 
d_a: 10, d_b: 4, sum = 20.000000 
d_a: 10, d_b: 5, sum = 29.000000 
d_a: 11, d_b: 0, sum = 25.000000 
d_a: 11, d_b: 1, sum = 61.000000 
d_a: 0, d_b: 12, sum = 93.000000 
d_a: 0, d_b: 13, sum = 44.000000 
d_a: 0, d_b: 14, sum = 60.000000 
d_a: 0, d_b: 15, sum = 65.000000 
d_a: 0, d_b: 16, sum = 58.000000 
d_a: 0, d_b: 17, sum = 59.000000 
d_a: 1, d_b: 12, sum = 73.000000 
d_a: 1, d_b: 13, sum = 24.000000 
d_a: 1, d_b: 14, sum = 40.000000 
d_a: 1, d_b: 15, sum = 45.000000 
d_a: 1, d_b: 16, sum = 38.000000 
d_a: 1, d_b: 17, sum = 39.000000 
d_a: 2, d_b: 12, sum = 88.000000 
d_a: 2, d_b: 13, sum = 39.000000 
d_a: 2, d_b: 14, sum = 55.000000 
d_a: 2, d_b: 15, sum = 60.000000 
d_a: 2, d_b: 16, sum = 53.000000 
d_a: 2, d_b: 17, sum = 54.000000 
d_a: 3, d_b: 12, sum = 56.000000 
d_a: 3, d_b: 13, sum = 7.000000 
d_a: 3, d_b: 14, sum = 23.000000 
d_a: 3, d_b: 15, sum = 28.000000 
d_a: 3, d_b: 16, sum = 21.000000 
d_a: 3, d_b: 17, sum = 22.000000 
d_a: 4, d_b: 12, sum = 91.000000 
d_a: 4, d_b: 13, sum = 42.000000 
d_a: 4, d_b: 14, sum = 58.000000 
d_a: 4, d_b: 15, sum = 63.000000 
